,Path,Automation Name,Activities,Status,Next Run,Last Run Status,Last Run,Last Modified
0,Data factory Utitly Automations,520000018-PSExtended-24,,Scheduled,2024-02-23 00:15:00,Complete,2024-02-22 00:15:00,2024-02-22 00:15:00
1,,ACL Contacts Validity Cleanse,Import ACL Contact Validation,Inactive File Drop,--,Complete,2024-01-16 16:58:00,2024-01-16 16:58:00
2,Journeys/ACL,ACL Newsletter,"ACL Subscriber Share
ACL Show Recommendation Newsletter
ACL Already Bought
ACL Newsletter Show Recommendation 1
ACL Newsletter Show Recommendation 2
ACL Newsletter Show Recommendation 3
ACL Newsletter Show High Level Recommendation 1
ACL Newsletter Show High Level Recommendation 2
ACL Newsletter Show High Level Recommendation 3
ACL Newsletter Show High Level Recommendation 2.2
ACL Newsletter Show High Level Recommendation 3.2
ACL Newsletter Show High Level Recommendation 2.3
ACL Newsletter Show High Level Recommendation 3.3
ACL Newsletter Show High Level Recommendation 2.4
ACL Newsletter Show High Level Recommendation 3.4
No Genre ACL
ACL Newsletter show recommendation Fallback 1
ACL Newsletter Show Fallback Recommendation 2
ACL Newsletter Show Fallback Recommendation 3",Ready,--,Complete,2023-08-24 07:22:00,2023-08-25 01:58:00
3,Journeys/ACL,ACL Post Purchase Journey,"ACL Post Purchase
ACL_PostPurchase_Recommendation 1
ACL_PostPurchase_Recommendation 2
ACL_PostPurchase_Recommendation 3
ACL_PostPurchase_ShowRecommendation HighLevel_1
ACL_PostPurchase_ShowRecommendation HighLevel_2
ACL_PostPurchase_ShowRecommendation HighLevel_3
ACL_Postpurchase_ShowRecommendation_Fallback_1
ACL_Postpurchase_ShowRecommendation_Fallback_2
ACL_Postpurchase_ShowRecommendation_Fallback_3
ACL Post Purchase Audit",Scheduled,2024-02-23 08:30:00,Complete,2024-02-22 08:37:00,2024-02-22 08:37:00
4,,ACL Post Visit Journey,"ACL Post Arrival
ACL Show Recommendation 1 - Post Arrival
ACL Show Recommendation 2 - Post Arrival
ACL Show Recommendation 3 - Post Arrival
ACL Show Recommendation High Level 1 - Post Arrival
ACL Show recommendation High Level 2 - Post Arrival
ACL Show recommendation High Level 3 - Post Arrival
ACL Show recommendation Fallback 1 - Post Arrival
ACL show recommendation Fallback 2 -Post Arrival
ACL Post Visit Audit",Scheduled,2024-02-23 06:00:00,Complete,2024-02-22 06:14:00,2024-02-22 06:14:00
5,Journeys/ACL,ACL Pre Arrival - 7 days,"Pre Arrival 7 days Prior
ACL Show Recommendation 1 - 7days Prior
ACL Show recommendation 2 - 7 days Prior
ACL Show Recommendation 3 - 7 days Prior
ACL Show Recommendation High Level 1 - 7 days Prior
ACL Show Recommendation High Level 2 - 7 days Prior
ACL show recommendation High level 3 - 7 days Prior
ACL show recommendation Fallback 1 - 7 days Prior
ACL show recommendation Fallback 2 - 7days Prior
ACL show recommendation Fallback 3 - 7 days Prior
Pre Arrival 7 day Prior Audit",Ready,--,,--,2023-07-27 13:34:00
6,Journeys/ACL,ACL Pre Arrival Journey,"ACL_PreArrival_DONOTOVERWRITE
Pre Arrival Journey
ACL Show Recommendation 1
ACL Show recommendation 2
ACL Show Recommendation 3
ACL Show Recommendation High Level 1
ACL Show Recommendation High Level 2
ACL Show Recommendation High Level 3
ACL show recommendation Fallback 1
ACL show recommendation Fallback 2
ACL show recommendation Fallback 3
ACL Arrival Audit",Scheduled,2024-02-23 05:30:00,Complete,2024-02-22 05:37:00,2024-02-22 05:37:00
7,Journeys/ACL,ACL Upsell and Sold Out,"ACL_Upsell
ACL_Event_SoldOut",Scheduled,2024-02-23 00:00:00,Complete,2024-02-22 00:03:00,2024-02-22 00:03:00
8,ACL_PSL,ACL_PSL_Status_Sync_All_Subscribers,"ACL_PSL_Status_Sync_All_Subscribers
ACL_PSL_Status_Sync_All_Subscribers (Extract)
Updated White Glove List Shared to AllContacts_Step1",Ready,--,Complete,2024-02-28 02:20:00,2024-02-21 09:20:00
9,Journeys/ACL,ACL_Recommendations,"Get_ACL_Subscribers_Step1
ACL_Already_Bought_Reco_Step2
ACL_SubGenre_Rec1
ACL_SubGenre_Rec2
ACL_SubGenre_Rec3
ACL_Genre_Rec1
ACL_Genre_Rec2
ACL_Genre_Rec3
ACL_Genre_Rec2.2
ACL_Genre_Rec3.2
ACL_Genre_Rec2.3
ACL_Genre_Rec3.3
ACL_Genre_Rec2.4
ACL_Genre_Rec3.4
ACL_Expressed_Genre_Rec1
ACL_Expressed_Genre_Rec2
ACL_Expressed_Genre_Rec3
ACL Recommendation No Match
ACL Recommendation Fall Back 1
ACL Recommendation Fall Back 2
ACL Recommendation Fall Back 3",Ready,--,Complete,2023-02-07 17:21:00,2023-02-07 17:40:00
