,Name,External Key,Reference Data Extensions,Data Extension Keys,Date Created,Date Modified
0,ACL_PSL_Status_Sync_All_Subscribers,FC71A139-3E50-4DDE-B123-BEF1DC3AC7A7,ACL_PSL_Status_Sync_All_Subscribers,896F18C2-9CF5-4B53-9788-FAB415C6FAEE,2023-12-15 09:35:00,2023-12-15 10:07:00
1,All Subs Parent,C8372561-B2D4-488F-8A0C-E1FA90221A8D,All_Subscribers_Parent_Backup,C8372561-B2D4-488F-8A0C-E1FA90221A8D,2021-04-23 15:51:00,2021-04-23 15:51:00
2,AllContacts_Step1_Backup,973D1FE4-AEA2-4A60-999D-48AA3D2A2A8C,AllContacts_Step1,809C6EC1-D744-4265-8AC0-EE6F02703916,2023-01-24 19:01:00,2023-10-16 11:59:00
3,AudienceView Admission Detail Clean,7E6108E7-974C-40A3-944E-97F4F2A8ADC9,Ticket_Admission_Sales_DETAIL_Staging_Clean_No_Headers,BD8F6B10-7758-42BD-A6DC-E8AE93325C18,2021-01-25 14:35:00,2021-03-15 22:03:00
4,AudienceView Cancelled Order Clean,643DD556-B4D4-4BB9-B1D8-DB9732304A85,AudienceView_Cancelled_Orders_Clean_No_Headers,426DFEE9-CD08-4500-AA2A-43CDBE22B2F6,2021-01-22 14:35:00,2021-01-22 14:35:00
5,AudienceView Customer Type Clean,70E2821C-471B-4671-9149-68A153FCB3A9,AudienceView_Customer_Type_Staging_Clean_No_Headers,E3280262-2CEB-42AC-8F6D-AA3BE574B2F2,2020-09-08 12:09:00,2020-09-08 12:09:00
6,AudienceView Events Clean,AB048C0F-5E71-484F-BEBD-B20BD1CF853B,AudienceView_Events_Staging_Clean_No_Headers,BDABEF66-BFC4-4FDD-8C56-7EF01FB63881,2020-09-08 12:08:00,2020-09-08 12:08:00
7,AudienceView Misc Item Charges Clean,DDCB5882-D639-4764-AC24-98B29B46DEF2,AudienceView_Misc_Item_Charges_Staging_Clean_No_Headers,19CE9978-AB55-48F6-88E0-EBB74780BF8C,2020-09-08 12:07:00,2020-09-08 12:07:00
8,AudienceView Misc Items Sales Clean,C3979FF7-1F42-40DE-A1B9-F0DC6C9BF6B8,AudienceView_Misc_Items_Sales_Staging_Clean_No_Headers,96532DD7-F95E-4199-B94B-4B6C59484666,2020-09-08 12:06:00,2020-09-08 12:06:00
9,AudienceView Order Admission Charges Clean,44D07CCE-A84E-4655-91DB-761EFE324F4A,AudienceView_Order_Admission_Charges_Staging_Clean_No_Headers,CA920122-4D39-49EB-8EDE-63289470E3C8,2020-09-08 12:00:00,2020-09-08 12:00:00
10,AudienceView Order Admissions Clean,49C79F03-C27E-4B94-9B1A-34B7A9CD85BB,AudienceView_Order_Admission_Staging_Clean_No_Headers,4417A107-4A1A-4D21-9D81-189B2CB287EC,2020-09-08 12:04:00,2020-12-17 15:41:00
11,AudienceView Order Charges Clean,0B89BF2D-298F-48B2-8C7D-8D4826A8415E,AudienceView_Order_Charges_Staging_Clean_No_Headers,DBF538BC-8EDA-4B2F-8FF5-87F15F0265E4,2020-09-08 11:58:00,2020-09-08 11:58:00
12,AudienceView Order Contacts Clean,2B717A32-09E9-44CE-9D84-A3DC67CA9867,AudienceView_Order_Contact_Staging_Clean_No_Headers,7B7E1A6B-6769-45F8-9AA8-A52E6DA7DE78,2020-09-04 12:29:00,2021-06-15 09:29:00
13,BlueCore Data Extract,49F652BA-93B1-4D36-8DB7-8FD05BA66872,BlueCore_Optin_Optout,888E1EBA-3AC1-4F25-AD1C-CFD428A55900,2020-09-30 13:48:00,2020-09-30 14:25:00
14,celebrate.csv,0F1DCAB5-A4D8-4C37-AF96-75A99B104E7A,Celebrate_Future,0F1DCAB5-A4D8-4C37-AF96-75A99B104E7A,2022-04-13 10:10:00,2022-04-22 11:33:00
15,Contact Us Convert,6C0BBBD3-6382-410F-AD57-03F70BAD9043,,,2022-08-10 10:06:00,2022-08-10 10:14:00
16,Cross Sell to Dato,3C02A2F6-B717-4089-A670-981F1E92CD23,Cross Sell to Dato,3C02A2F6-B717-4089-A670-981F1E92CD23,2022-04-04 16:23:00,2022-04-04 16:23:00
17,Datorama - AudienceView,F2A3813B-6450-4C7C-8CA2-29E7E84799B6,Datorama - AudienceView,BA43E0F6-9495-4FF1-8629-BBC17B3C2166,2020-09-29 11:23:00,2024-01-16 14:05:00
18,Datorama - AudienceView Automatic,28D53CB2-0DFE-4CE4-9912-A23731ED3384,Datorama - AudienceView,BA43E0F6-9495-4FF1-8629-BBC17B3C2166,2023-08-18 14:50:00,2023-08-18 14:50:00
