,Name,External Key,Target Data Extension,Description,Date Created,Date Modified
0,ACL_PSL_Status_Sync_All_Subscribers,D1506E1C-B37F-489D-9CDA-56E0878BF22D,	All Subscribers,,2023-12-15 09:39:00,2023-12-15 10:14:00
1,Import ACL Contact Validation,A7925CE3-AB61-426F-AA0A-600A93CFC105,ACL New Contacts Validation,,2024-01-16 16:57:00,2024-01-16 16:57:00
2,ACL PSL Suppression,53583BA6-C7A1-407B-98DB-395B0ABA42E7,ACL PCL Suppression,,2023-05-01 10:34:00,2023-05-01 10:36:00
3,Repeat Visit to All Subs,3CD9BD65-BF0D-4C4B-9B9A-8BF9E1F47299,All Subscribers,,2022-11-03 14:59:00,2022-11-03 15:13:00
4,Unsubscribes to All Subscribers,04A72D4A-69B1-448B-AAE4-1D4C29E4B94E,All Subscribers,,2021-04-12 14:55:00,2022-12-22 13:14:00
5,Update_Ole_Red_Subscribers,4C7A3692-690A-4BE3-9451-B2E25B71ACB1,AllContacts_Step1,activity to update outdated user information,2024-01-08 08:42:00,2024-01-08 08:42:00
6,AudienceView Cancelled Order,9C16FE05-2116-4E59-A155-EF9BDC38C651,AudienceView_Cancelled_Orders_Staging,Load of AudienceView Events to Data Extension,2021-01-25 12:00:00,2021-03-16 10:17:00
7,AudienceView Cancelled Order Clean,E6850351-C02F-4328-95B8-46D39AA12FE8,AudienceView_Cancelled_Orders_Staging_Clean,Load of AudienceView Events to Data Extension...,2021-01-22 13:23:00,2021-02-15 09:46:00
8,AudienceView Customer Type,D4EF3B7E-82EB-4AF0-BC37-06516EBFEE4A,AudienceView_Customer_Type_Staging,Import AV Customer Types,2020-09-03 07:54:00,2021-03-16 10:25:00
9,AudienceView Customer Type Clean,7191EE11-6CF2-48A5-A9F7-643DFDF61660,AudienceView_Customer_Type_Staging_Clean,Import AV Customer Types - Clean Headers,2020-09-08 10:33:00,2020-10-07 02:10:00
10,AudienceView Events,F7A03A0A-3FF9-498F-ACE0-77FA713B74B4,AudienceView_Events_Staging,Load of AudienceView Events to Data Extension,2020-08-19 17:55:00,2021-03-16 10:47:00
11,AudienceView Events Clean,13137258-45D4-4404-836C-068A72761C49,AudienceView_Events_Staging_Clean,Load of AudienceView Events to Data Extension...,2020-09-08 10:38:00,2020-09-08 10:38:00
12,AudienceView Misc Item Charges,A9181ABF-52B7-45A6-B7BA-10B34A94381F,AudienceView_Misc_Item_Charges_Staging,Import AV Misc Item Charges,2020-09-02 13:53:00,2021-03-16 11:01:00
13,AudienceView Misc Item Charges Clean,A75D20CC-9DF9-478A-BD40-24D425279D5F,AudienceView_Misc_Item_Charges_Staging_Clean,Import AV Misc Item Charges Clean,2020-09-08 10:44:00,2020-09-08 11:49:00
14,AudienceView Misc Items Sales,A6C9706E-3AB0-45F1-9E03-5F1A5F46848A,AudienceView_Misc_Items_Sales_Staging,Import AudienceView Misc Items Sales,2020-09-02 13:46:00,2021-03-16 10:48:00
15,AudienceView Misc Items Sales Clean,06BBDEB4-7D71-48D0-82B0-A459AF1EBA0B,AudienceView_Misc_Items_Sales_Staging_Clean,Import AudienceView Misc Items Sales Clean,2020-09-08 10:47:00,2020-09-08 11:50:00
